Word,Frequency
clepsydra meant shorter prewritten speeches,1
‘ biotechnical civil disobedience ’,1
common indonesian mobile food truck,1
reuse (‘ cannibalization ’),1
"""2012 ), ‘ critical making ’""",1
18th century air pumps representing,1
bring together different ‘ stakeholders ’,1
33 open manufacturing official website,1
many open hardware projects congregated,1
gone kit ’ 72,1
44 experiment official crowdfunding website,1
17th century academic refugee comenius,1
patrons ‘ host ’ new parasites,1
"""dialog ‘ theaetetus ’, socrates""",1
‘ opendrop ’ projects support emancipatory,1
local coordination despite vast global differences,1
air pumps ................................................................................... 83 hybrid,1
diy activities around estrogen supported everyone,1
moral machine experiment .” nature 563,1
occucopter 3 http :// www,1
"""1 ), 28 – 37""",1
142 – 157 ).,1
natural philosophy .” mnemosyne 38,1
§§ 89 — 94,1
‘ open source estrogen ’,1
"""instruments generating ‘ miracles ’,""",1
diy_microscopy 13 hackteria wiki documentation,1
citizens .................................................................. 139 algorithmic governance,1
form ‘ inscription devices ’,1
18th century political philosophy debate whether,1
prototypes .............................................................. 102 prototyping communitas,1
"""01 ), 53 – 85""",1
new ‘ clock ’ –,1
future .................................................................................................. 44 futures worth,1
capacity building via open science hardware,1
"""concurrent computing ), fault tolerance""",1
‘ pointers ’ perform timekeeping,1
sandbox supports ‘ cannibalization ’,1
local futures61 open science hardware,1
transformation includes ‘ inner ’,1
"""1 ), 16 – 17""",1
vita activa .......................................................................................... 77 contradictions,1
called ‘ smart contracts ’,1
bornitz ’ transgender body politic,2
leaving ‘ mother earth ’,1
olive presses supported thales ’ critique,1
social contract theory could ever imagine,1
imaginary ‘ smart village ’,2
participatory automation .................................. 143 4,1
"""et al ., 2019""",1
masculine birth .................................................................................................................. 40 prototypes,1
"""‘ byzantine general problem ’,""",1
"""1 ), 1 – 28""",1
‘ epicurean ’ artistic explorations,1
also bryan bishop projects31,1
"""various ‘ stakeholders ’, present merchants""",1
hackerspace ......................................................................................... 56 references,1
liminal environments supporting ad hoc interactions,1
diy drones supporting citizen journalism,1
ἔπειτα χρόνον ): ‘,1
placing russian geiger counters,1
4_1 practice without making final decisions,1
calls ‘ institutional hacks ’,1
ut ilium di perdant,1
nouvelle sorte de representations,1
lecture remembered indiana jones,1
comminuit misero articulatim diem,1
open source naval solution exploring,1
32 open source ecology wiki,1
exploratory sandboxes ........................................................................................... 1 1,1
"""1 ), 41 – 70""",1
69 – 90 ).,1
researching algorithms .” information communication,1
novena « bunnie ’,1
help ‘ big science ’,1
artisanal instruments validate zilsel ’,1
"""‘ trading zones ’, lithopy""",1
accommodated large multinational companies insisting,1
similar marginal environments often complicated,1
design interventions .................................................. 138 future,1
clepsydra made justice ‘ mechanical ’.,1
20th century authors brilliantly described,1
‘ magical ’ mechanism defined,1
‘ open estrogen project ’,1
show seven wealthy ancestors ’,1
‘ experimental algorithmic citizenship ’,1
‘ political ’ future engages citizens,1
safecast diy radiation monitoring kit,1
billion dollar empires across,1
cambridge university pressthe classical association,1
‘ pathetic dots ’,1
76 global open science hardware,1
97 – 116 ).,1
328 – 360 ).,1
leave ‘ mother earth ’,1
‘ troubles ’ remains open,1
political work ’ along scientific research,1
‘ idle poor ’ even,1
restoration – instauratio – section 2,1
living fruit ............................................................... 52 future,1
mantis shrimp invention blog,1
hackers ’ governance ................................................................................................ 66,1
‘ absolute authority ’ [...].,1
35 gaudilab official website,1
future making ........................................................................................................... 5 time,1
‘ trading zones ’ served,1
called ‘ maker movements ’,1
temporary networks without predefined agenca,1
thales ’ astronomical observations worthy,1
88 – 90,1
electronics material production could never meet,1
blind ‘ prototype ’ summarizes,1
exploratory sandboxes ....................... 118 engaging,1
blockchain ‘ smart contracts ’,1
3d printing open source community,1
exemplary free citizen like thales,1
situated way (‘ dissonance ’).,1
protesting high alcohol taxation,1
‘ transparent ’ sundial pointer expresses,1
"""1 ), 2 – 8""",1
‘ time ’ masculine birth,1
‘ time masculine birth ’,1
products let citizens form new identities,1
regulate algorithms ?” tableau visualization,1
also ‘ social licenses ’,1
‘ safe space ’ without,1
sundial ...................................................................................................... 26 automated injustice,1
someone ultimately designs without letting,1
still ‘ social devices ’,1
‘ good enough ’ solutions,1
olive presses ............................................................................................... 18 mocking,1
help us recognize missed opportunities,1
used even migrant slave labor,1
actual global time value .’( hong,1
informal ‘ geek diplomacy ’.,1
sentiments behind media archeology explorations,1
exploratory sandboxes demystifies magical control,1
hobbesian modern state leads directly,1
artificial intelligence .” big data,1
"""iliad ), kairos gradually contrasted""",1
balances algorithmic ‘ wilderness ’,1
later ‘ enlightened ’ scientific,1
‘ syracuse syndrome ’,1
‘ defraying expenses ’,1
racial ‘ othering ’,1
automated ‘ contracts ’ became,1
every new governance machine commodifying,1
9iydf5bumfw 25 git documentation,1
legendary computer scientist edsger dijkstra,1
81 – 95 ).,1
243 – 275 ).,1
adversarial public ai system proposals,1
‘ happiness labor ’,1
workshop participants would first become villagers,1
sandboxes ...................................................................... 119 saving agency,1
imposed ‘ automatic ’ austerity,1
human calculation ’ necessarily leads,1
tech .” oxford university press,1
naturae vice faemina nasculus,1
brain cortex electric stimulation,1
corruption case still haunts us,1
research review .” international journal,1
scholarly phenomenon .” information communication,1
51 fixed sensor wiki documentation,1
gel electrophoresis chamber made,1
desiderata .............................................................................. 39 time,1
environments rely upon critical practices,1
54 youtube video documentation,1
original computer metaphors used exaggerated scenarios,1
open science hardware board,1
house ...................................................................................... 50 experimenta fructifera,1
‘ big ’ cosmological data,1
cosmological ‘ big data ’,1
malicious algorithms requires independent oversight,1
"""key performance indicators ), ideals""",1
prototypes transform anonymous scientific labour,1
‘ whole ’ thus support,1
140 – 166 ).,1
governance machines often claim higher ontological,1
65 18 bryan huggil,1
military ‘ dual use ’,1
projects embrace ‘ optatives ’,1
algorithmic accountability .” new media,1
"""7729 ), article 7729""",1
called ‘ little science ’,1
21st century tarot cards9,1
"""2015 ), radiation monitoring kits""",1
"""superior artisans ), university scholars""",1
owns ten thousand acres,1
every single entity must share,1
present ‘ dynamic moments ’,1
"""0 ), artisan instruments entertain""",1
chi ea ’ 14,1
implement ‘ estrogen ’ politics,1
fair information practices .” information,1
68 us public private alliance,1
‘ inscription devices ’,1
‘ enoch zodiac ’,1
drebbels instruments serve various practical,1
‘ action ’ without changing,1
even malicious nodes thus played,1
exploiting migrant slave labor,1
393 – 481 ).,1
344 – 388 ).,1
288 – 293 ).,1
226 – 243 ).,1
133 – 157 ).,1
1303 – 1304 ).,1
kairos without becoming government innovation plans,1
also ‘ due measure ’,1
50 wetpong website documentation,1
"""‘ bios politikos ’,""",1
open hardware using traditional crafts,1
philosophical goals without one political agenda,1
‘ bricolage ’ along,1
governance machines ............................................................. 29 2,1
open hardware instruments expand epistemic,1
25 – 47 ).,1
resulting blockchain protocols became actual metaphors,1
algorithmic social contract .” ethics,1
‘ living instruments ’ explored,1
diy syringe pump even serves,1
73 – 80 ).,1
diy geiger counter throughout,1
‘ living instruments ’ represent,1
offer random ‘ fruits ’,1
46 – 55 ).,1
irover high voltage supply,1
even emancipatory purposes throughout history,1
modern scientific ‘ method ’.,1
36 biodesign official website,1
instruments became monopoly contraptions representing god,1
sandboxes ............................................................................ 127 4,1
arbitrary epistemic certainty beyond human control,1
"""‘ artificial pancreas ’,""",1
‘ molecular colonization ’,1
‘ serious ’ scientific work,1
siggraph asia ’ 14,1
also ‘ announced ’,1
20 hackteria official website,1
‘ algorithmic production ’ rather,1
macronation official project documentation,1
‘ vietnam project ’,1
late 4th century bce,1
‘ exemplary ’ life,1
‘ big data ’ patterns,1
official hakcteria wiki documentation,2
"""1 ), every new tool""",1
arbitrary ‘ algorithmic ’ rule,1
liinc em revista,1
indonesian wayang kulit theater,1
interaction frequently establish contact languages,1
2011 annual conference extended abstracts,1
‘ dining philosophers ’ allegory,1
‘ border crossings ’,1
science instruments become governance machines embedded,1
"""algorithmic ‘ leviathans ’,""",1
‘ artisan science ’ work,1
try something without imposing teleological ideal,1
14 – 22 ).,1
47 instructables official website,1
expand epistemological commitments ‘,1
67 – 84 ).,1
algorithmic ‘ leviathan ’ formed,1
22 lifepatch official website,1
narrow space .’ campanella ’,1
mittelstadt et al,1
‘ regulatory ’ public space,1
regulatory sandboxes already allow startups,1
"""‘ corpus mysticum ’,""",1
‘ right time ’; chronos,1
miniaturized diy syringe pump,1
‘ smart city ’ governance,1
perform free ‘ actions ’.,1
"""‘ modeler ’, insisting""",1
even political artisanship use instruments,1
"""), smarthealth ’ 11""",1
indiana jones archaeologist searching,1
algorithmic ‘ hell ’,1
law ................................................................................. 135 4,1
simply signifies political apathy,1
sociotechnical ‘ initiation ’,1
victors ..................................................................................... 11 chronos,1
local futures ........................................................................................... 90,1
several prototypes exploring food commensality,1
decreeing ‘ instauration ’,1
‘ fringe ’ prototyping described,1
4th century bce passages,1
open source development models assert freedom,1
‘ unbendable ’ pointer,1
insulin 46 youtube documentation,1
14 opendrop platform website,1
highly accurate atomic clock,1
molecular ‘ invasion ’.,1
public spaces .” international journal,1
without ever becoming hunter,1
scientific advancements automatically guarantee moral,1
‘ masculine ’ birth,1
‘ masculine birth ’,1
‘ living instruments ’ embody,1
possible futures without imposing perfection,1
spanish collective ‘ gynepunk,1
new celestial lovers celebrates,1
..................................................................... 133 lithopy sandbox,1
‘ body politic ’,2
citizens become ‘ parasites ’,1
awad et al,1
define ‘ correct ’ prototyping,1
siggraph asia 2014 designing tools,1
tel aviv makerspace tami,1
"""‘ natural condition ’, war""",1
final bgeigienano geiger counter,1
never learned bahasa well enough,1
solarity .” open library,1
projects around 2013 showed prototypes,1
artisan prototypes explore ‘ wonders,1
‘ public ’ infrastructures represent,1
16th century artisans combining science,1
social action beyond patrons ’ control,1
transgender body politic demonstrate prototyping,1
"""chapter 4 ), prototyping promises infrastructures""",1
‘ humanitarian ’ hardware,1
partially compromised ideals ’,1
32nd annual acm conference,1
less obvious uses behind prototypes,1
‘ network projects ’ challenge,1
‘ byzantine generals ’,1
sundial pointer .................................................................................... 34 governance,1
‘ democratize ’ hormones,1
followed open science hardware prototypes,1
realizes ‘ right ’,2
also present open science hardware,1
‘ ideal community ’ already,1
commonly agreed concept enables researchers,1
biostrike 27 youtube documentation,1
‘ horror vacui ’,1
developing countries meet challenges faced,1
allows ‘ cannibalization ’,1
‘ blissful clarity ’,1
prewritten clepsydra speeches thus transform,1
anyone else could judge better,1
micheli et al,1
sociotechnical actions must remain ambiguous,1
even ‘ minted ’,1
performing silicon valley clichés,1
homo ludens build playful prototypes,1
recently also ethical ai guidelines,1
"""smart contract ,"""" cryptocurrency""",1
global organization supporting open measurements,1
exploratory prototypes ................................................................................... 73 governance,1
archimedean sphere paradoxically simulates,1
fledged creoles rich enough,1
‘ adversarial ’ design,1
"""‘ command mechanism ’,""",1
‘ promissory equipment ’.,1
chi ea ’ 11,1
‘ ritualizes ’ science,1
‘ official ’ science,1
"""automated smart contracts ,""""""",1
paradigms ............................................................................................................... 41 prototypes,1
uses “ objective ” measurements,1
“ modern times .” time,1
magazine des cultures digitales,1
always already partially compromised,1
established actors like intel rather,1
‘ luciferous ’ instruments,1
‘ liberating ’ instruments,1
41 pecheblenda official documentation,1
‘ spherified ’ wine,1
defeating project basically showed,1
hobbes ’ social contract theory,1
emerging technical infrastructures claim superior governance,1
"""‘ oscillation ’, rather""",1
‘ hateful clock ’,1
including present open science hardware,1
"""restoration ), francis bacon uses examples""",1
marginal prototyping practices imagine radical transformation,1
must obey like ancient gods,1
prototypes intricately connected future making,1
open science hardware shows alternatives,1
"""node red environment ),""",1
open future ......................................................................................... 9 clocks,1
‘ institutional hacks ’,1
20th century particle physics,1
‘ governance ’ become matters,1
simply ‘ diffuse ’,1
instruments ).. hail heterogeneity,1
‘ celestial sons ’,1
‘ pansophical ’ prototypes,1
‘ advantageous ’ futures,1
17th century inspired different projects,1
although ‘ absolute authority ’,1
neither political subjects seeking justice,1
theological embodiment promising historical mission,1
open software movements provoke us,1
seeking agreements among free citizens,1
democratic engagements without ultimate goals,1
electronic art isea2011 istanbul,1
suits old sol .’,1
"""2011 ), citizen science experiments""",1
"""‘ trade zone ’,""",1
merely ‘ advantageous ’,1
groups use open science hardware,1
34 tekla lab repository,1
sandboxes .................................................................................... 116 prototypes,1
‘ automate ’ regulations lead,1
technological ‘ commonwealth ’,1
whole project simply enables citizens,1
delgrado mentions food hacking projects,1
even nature beyond anyone ’,1
hacked spiritual chants automata,1
foster ‘ material redistribution,1
citizen scientists revive zilsel ’,1
open hardware science instruments discussed,1
"""alba amicorum ), something""",1
commons 26 git documentation,1
iconic open hardware projects,1
‘ demonic ’ infrastructure,1
dramatically illustrated nature ’,1
aura ): ‘ intoxication,1
‘ experimenta lucifera ’,1
‘ trading zones ’,5
"""kitchin 2017 ), even issues""",1
instruments transform society without falling,1
‘ big ’ futures,1
society ..................................................................... 82 socio,1
new places outside professional laboratories,1
